id,brand,name,price,price_promo
102585547,Vittoria Vicci,Блузка-боди нарядная,4990,838
68362807,Laskita,Блузка,5990,1485
120103488,MURAL brand,Рубашка оверсайз теплая удлиненная,6200,2529
174473695,ADORE ALLURE,рубашка офисная,6000,912
114782010,Beneful,Блузка летняя с коротким рукавом оверсайз,4995,959
148277488,KONTALY,Блузка шифоновая нарядная,6900,2649
153746146,BALA&MARK,Куртка рубашка джинсовая цветная,8300,1859
176022931,ALINA888,Рубашка в клетку теплая оверсайз большие размеры,7000,1120
157329493,INCITY,Блузка-топ женская,2879,875
60639584,SVEA,блузка праздничная белая в школу и офис,7800,748
155911978,Gloria Jeans,Чёрная укороченная блузка на пуговицах с принтом,1599,239
143852230,LeSsiSmORE,Рубашка,15390,4924
155012760,Buona moda,Рубашка куртка джинсовая oversize,9900,2851
170411289,SVESTA,Блузка стильная нарядная офис большие размеры,7490,1917
150940123,Schatzi,Нарядная блузка с воротником,4300,1685
161208609,Adele,Рубашка женская оверсайз больших размеров летняя,4200,1579
169308653,Home Capsula,Рубашка оверсайз удлиненная с воротником,5050,1575
46249339,GG Style,Блузка рубашка повседневная,4400,1548
11789263,PEPE JEANS LONDON,Блузка,8400,1276
11583266,PEPE JEANS LONDON,Блузка,5210,1083
88820002,zorigma,Рубашка белая хлопок лен оверсайз,2200,1073
10467729,MEXX,Рубашка,3490,977
42459735,E-Line moda,Рубашка в клетку большие размеры,5030,804
167105246,Andreev,Блузка,5000,800
8839108,VISERDI,Блузка,5270,758
150411140,2D WEAR,Блузка повседневная офисная рубашка,4505,720
10692770,MEXX,блузка,4290,686
10692749,MEXX,Блузка,4290,686
163715651,Textile777,Рубашка женская в клетку оверсайз офисная трикотажная хлопок,1500,624
7252605,MEXX,Рубашка,4990,598
162930414,SellMax,Блузка в офис и школу,2890,531
42104176,Deseo,Домашний топ с контрастным рисунком,1402,446
143666279,FUNDAY,Блузка,1199,338
103453918,MADORO,Рубашка оверсайз классическая базовая для офиса и школы,6000,1104
140979359,Eloquence,блузка с пышными рукавами фонариками праздничная вечерняя,4555,1020
161322776,MOOON,Рубашка блузка белая оверсайз хлопковая,3600,979
160485358,Nataly Rik,Блузка шелковая нарядная топ под пиджак,2400,960
155356076,Bluza,Рубашка оверсайз удлиненная трикотажная,6900,938
170551522,Zolla,Блузка женская,1199,546
167573762,United Colors of Benetton,Рубашка из поплина,4599,2276
73033613,LOVE REPUBLIC,Боди на молнии,3099,991
53201486,KONTALY,Блузка с шифоном,5460,1703
23330998,AM One,Блузка,2999,1247
155209701,VICTORIA VEISBRUT,Блузка,2850,1162
156015059,MY МОДА,Блузка офисная с коротким рукавом,3150,730
166892783,Milori,Рубашка женская блузка офисная нарядная больших размеров,6890,3196
139858100,Posh style,Рубашка женская офисная повседневная блузка нарядная,7000,1680
20821738,Daniel diaz,Рубашка классическая прямая оверсайз больших размеров,3990,1085
101380340,Екатерина,Рубашка микровельвет,3500,1568
171863044,Austen store,Рубашка в клетку теплая,4400,1372
171376768,A-A Awesome Apparel by Ksenia Avakyan,Блуза женская крестьянка,7594,972
72051769,Denira K,Блузка вечерняя,8598,391
139393513,VENTA.,Блузка льняная без рукавов под пиджак офисная нарядная,4900,1724
171399382,Alessa,Блузка шелковая нарядная,8413,1547
114543347,Victoria_Richie,Блузка женская лапша с открытыми плечами,3500,616
182440678,Lshzr in style,Рубашка офисная легкий вельветовые,6000,816
72590938,LONA,Блузка летняя офисная с бантом,2800,1052
172633229,NK Market,блузка летняя жатка,3500,1092
